Season,No. of teams,Final,Final,Final,Venue,Player of the Tournament
Season,No. of teams,Winner,Winning margin,Runner-up,Venue,Player of the Tournament
2016 Details,5,Islamabad United 175/4 (18.4 overs),6 wickets Scorecard,Quetta Gladiators 174/7 (20 overs),"Dubai International Cricket Stadium, Dubai",Ravi Bopara (Karachi Kings)
2017 Details,5,Peshawar Zalmi 148/6 (20 overs),58 runs Scorecard,Quetta Gladiators 90 (16.3 overs),"Gaddafi Stadium, Lahore",Kamran Akmal (Peshawar Zalmi)
2018 Details,6,Islamabad United 154/7 (16.5 overs),3 wickets Scorecard,Peshawar Zalmi 148/9 (20 overs),"National Stadium, Karachi",Luke Ronchi (Islamabad United)
2019 Details,6,Quetta Gladiators 139/2 (17.5 overs),8 wickets Scorecard,Peshawar Zalmi 138/8 (20 overs),"National Stadium, Karachi",Shane Watson (Quetta Gladiators)
2020 Details,6,Karachi Kings 135/5 (18.4 overs),5 wickets Scorecard,Lahore Qalandars 134/7 (20 overs),"National Stadium, Karachi",Babar Azam (Karachi Kings)
2021 Details,6,Multan Sultans 206/4 (20 overs),47 runs Scorecard,Peshawar Zalmi 159/9 (20 overs),"Sheikh Zayed Cricket Stadium, Abu Dhabi",Sohaib Maqsood (Multan Sultans)
2022 Details,6,Lahore Qalandars 180/5 (20 overs),42 runs Scorecard,Multan Sultans 138 (19.3 overs),"Gaddafi Stadium, Lahore",Mohammad Rizwan (Multan Sultans)
2023 Details,6,Lahore Qalandars  200/6 (20 overs),1 run Scorecard,Multan Sultans  199/8 (20 overs),"Gaddafi Stadium, Lahore",Ihsanullah (Multan Sultans)
2024 Details,6,Islamabad United  163/8 (20 overs),2 wickets Scorecard,Multan Sultans 159/9 (20 overs),"National Stadium, Karachi",Shadab Khan (Islamabad United)
2025 Details,6,Lahore Qalandars  204/4 (19.5 overs),6 wickets Scorecard,Quetta Gladiators  201/9 (20 overs),"Gaddafi Stadium, Lahore",Hassan Nawaz (Quetta Gladiators)
