Territory,Years,Channels and streaming services
Pakistan,2024,A Sports HD[63] Ten Sports HD[64] Myco (OTT)[65] SnackVideo (APP)[66] Tamasha (OTT)[67]  Tapmad (OTT)[68]
Sub-Saharan Africa,2024,SuperSport[69]
Australia,2024,Fox Cricket[70]
Bangladesh,2024,T Sports[71]Tapmad (OTT)[72]
Caribbean,2024,Flow Sports[73]
Central America:-,2024,LiveSportsCentral (Facebook) Sports Central (You Tube)
Central Asia:-,2024,LiveSportsCentral (Facebook) Sports Central (You Tube)
East Asia,2024,LiveSportsCentral (Facebook) Sports Central (You Tube)
Europe,2024,LiveSportsCentral (Facebook) Sports Central (You Tube)
India,2024,Fancode (OTT)[74]
Mexico,2024,LiveSportsCentral (Facebook) Sports Central (You Tube)
Middle East,2024,STARZPLAY e-visionCricbuzz (OTT)[75]
Nepal,2024,Action Sports HD[76] Tapmad (OTT)[77]
New Zealand,2024,Sky Sports NZ[78]
North Africa,2024,STARZPLAY e-visionCricbuzz (OTT)[79]
North America,2024,Willow[80]
Russia,2024,LiveSportsCentral (Facebook) Sports Central (You Tube)
Oceania,2024,LiveSportsCentral (Facebook) Sports Central (You Tube)
South America,2024,LiveSportsCentral (Facebook) Sports Central (You Tube)
South Asia,2024,LiveSportsCentral (Facebook) Sports Central (You Tube)
Southeast Asia,2024,Cricbuzz (OTT)[81]
Sri Lanka,2024,The Papare TV Dialog ViU (App)[82]
United Kingdom,2024,Geo News UK[83] Sky Sports UK[84]
Worldwide rights,2024–2025,TransGroup International[85]
