0,1,Seasons,Team,City,Owner,Home ground,Founded,Captain,Coach,"('Season', 'Season')","('No. of teams', 'No. of teams')","('Final', 'Winner')","('Final', 'Winning margin')","('Final', 'Runner-up')","('Venue', 'Venue')","('Player of the Tournament', 'Player of the Tournament')","('Season (No. of teams)', 'Hosts(s)Teams')","('2016 (5)', 'UAE')","('2017 (5)', 'UAE Pakistan')","('2018 (6)', 'UAE Pakistan')","('2019 (6)', 'UAE Pakistan')","('2020 (6)', 'Pakistan')","('2021 (6)', 'Pakistan UAE')","('2022 (6)', 'Pakistan')","('2023 (6)', 'Pakistan')","('2024  (6)', 'Pakistan')","('2025  (6)', 'Pakistan')",Title(s),Runner-up,Seasons won,Seasons runner-up,Title sponsor,Period,Sponsorship cost (per year),Ref.,Territory,Years,Channels and streaming services,vtePakistan Super League,vtePakistan Super League.1,vtePakistan Super League.2,vte Cricket in Pakistan,vte Cricket in Pakistan.1,vteTwenty20 cricket competitions,vteTwenty20 cricket competitions.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administrator,Pakistan Cricket Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Headquarters,Gaddafi Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Format,Twenty20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First edition,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latest edition,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tournament format,Double round-robin and Playoffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of teams,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current champion,Lahore Qalandars (3rd title),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most successful,Islamabad United Lahore Qalandars (3 titles each),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most runs,"Babar Azam (3,792)[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most wickets,Hasan Ali (125)[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV,Pakistan PTV Sports A Sports Ten Sports International List of broadcasters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website,psl-t20.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Islamabad United,Islamabad,Leonine Global Sports,"Rawalpindi Cricket Stadium, Rawalpindi",2015[a],Shadab Khan,Mike Hesson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Karachi Kings,Karachi,Salman Iqbal,"National Stadium, Karachi",2015[a],David Warner,Phil Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lahore Qalandars,Lahore,Fawad Rana,"Gaddafi Stadium, Lahore",2015[a],Shaheen Afridi,Darren Gough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Multan Sultans,Multan,Ali Tareen,"Multan Cricket Stadium, Multan",2017[b],Mohammad Rizwan,Abdul Rehman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Peshawar Zalmi,Peshawar,Javed Afridi,"Arbab Niaz Stadium, Peshawar",2015[a],Babar Azam,Daren Sammy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Quetta Gladiators,Quetta,Nadeem Omar,"Bugti Stadium, Quetta",2015[a],Saud Shakeel,Sarfaraz Ahmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
