vtePakistan Super League,vtePakistan Super League.1,vtePakistan Super League.2
Seasons,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,
Finals,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,
Teams,Islamabad United Karachi Kings Lahore Qalandars Multan Sultans Peshawar Zalmi Quetta Gladiators,
Drafts,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,
Statistics,Records and statistics Centuries Bowling,
Lists,Captains Umpires Venues,
Anthems,"List of anthems ""Ab Khel Ke Dikha"" ""Ab Khel Jamay Ga"" ""Dil Se Jaan Laga De"" ""Khel Deewano Ka"" ""Tayyar Hain"" ""Groove Mera"" ""Agay Dekh"" ""Sab Sitaray Humaray"" ""Khul Ke Khel"" ""X Dekho""",
Controversies,2017 spot-fixing scandal,
Related topics,History Karachi Kings–Lahore Qalandars rivalry PSL Hamaray Heroes Award,
Category  Commons  WikiProject,Category  Commons  WikiProject,Category  Commons  WikiProject
